param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
3,2.0,43.0,130.82302856445312,11.437789496421637,9.415749549865723,0.3357961177825928,266.80035400390625,16.334024427675693,13.602665901184082,-0.33571314811706543
5,2.0,43.0,158.4473419189453,12.587586818725237,10.52440071105957,0.19554424285888672,236.91250610351562,15.391962386372818,12.939499855041504,-0.186082124710083
11,2.0,43.0,181.50164794921875,13.472254746300587,11.491318702697754,0.0784948468208313,217.67982482910156,14.753976576811473,12.605045318603516,-0.08979547023773193
21,2.0,43.0,188.67413330078125,13.735870314646293,11.81289291381836,0.04207921028137207,210.32086181640625,14.50244330505747,12.436903953552246,-0.052953362464904785
