experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,1,42,130.75743103027344,11.434921557679067,9.412040710449219,0.3361291289329529,267.09600830078125,16.343072180614673,13.599333763122559,-0.33719325065612793
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,2,43,130.75743103027344,11.434921557679067,9.412040710449219,0.3361291289329529,267.09600830078125,16.343072180614673,13.599333763122559,-0.33719325065612793
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,3,44,130.75743103027344,11.434921557679067,9.412040710449219,0.3361291289329529,267.09600830078125,16.343072180614673,13.599333763122559,-0.33719325065612793
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,1,42,158.6531982421875,12.595761121988122,10.52802562713623,0.19449907541275024,236.13621520996094,15.366724283657884,12.912698745727539,-0.182195782661438
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,2,43,158.6531982421875,12.595761121988122,10.52802562713623,0.19449907541275024,236.13621520996094,15.366724283657884,12.912698745727539,-0.182195782661438
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,3,44,158.6531982421875,12.595761121988122,10.52802562713623,0.19449907541275024,236.13621520996094,15.366724283657884,12.912698745727539,-0.182195782661438
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,1,42,181.57815551757812,13.475093896429001,11.49471664428711,0.07810640335083008,217.23353576660156,14.73884445153695,12.601773262023926,-0.08756113052368164
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,2,43,181.57815551757812,13.475093896429001,11.49471664428711,0.07810640335083008,217.23353576660156,14.73884445153695,12.601773262023926,-0.08756113052368164
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,3,44,181.57815551757812,13.475093896429001,11.49471664428711,0.07810640335083008,217.23353576660156,14.73884445153695,12.601773262023926,-0.08756113052368164
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,1,42,188.83277893066406,13.741643967541295,11.814339637756348,0.04127377271652222,210.78968811035156,14.518598007739989,12.45921516418457,-0.05530059337615967
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,2,43,188.83277893066406,13.741643967541295,11.814339637756348,0.04127377271652222,210.78968811035156,14.518598007739989,12.45921516418457,-0.05530059337615967
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,3,44,188.83277893066406,13.741643967541295,11.814339637756348,0.04127377271652222,210.78968811035156,14.518598007739989,12.45921516418457,-0.05530059337615967
