experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,1,42,130.82302856445312,11.437789496421637,9.415749549865723,0.3357961177825928,266.80035400390625,16.334024427675693,13.602665901184082,-0.33571314811706543
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,2,43,130.82302856445312,11.437789496421637,9.415749549865723,0.3357961177825928,266.80035400390625,16.334024427675693,13.602665901184082,-0.33571314811706543
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,3,3,44,130.82302856445312,11.437789496421637,9.415749549865723,0.3357961177825928,266.80035400390625,16.334024427675693,13.602665901184082,-0.33571314811706543
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,1,42,158.4473419189453,12.587586818725237,10.52440071105957,0.19554424285888672,236.91250610351562,15.391962386372818,12.939499855041504,-0.186082124710083
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,2,43,158.4473419189453,12.587586818725237,10.52440071105957,0.19554424285888672,236.91250610351562,15.391962386372818,12.939499855041504,-0.186082124710083
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,5,3,44,158.4473419189453,12.587586818725237,10.52440071105957,0.19554424285888672,236.91250610351562,15.391962386372818,12.939499855041504,-0.186082124710083
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,1,42,181.50164794921875,13.472254746300589,11.491318702697754,0.0784948468208313,217.67982482910156,14.753976576811471,12.605045318603516,-0.08979547023773193
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,2,43,181.50164794921875,13.472254746300589,11.491318702697754,0.0784948468208313,217.67982482910156,14.753976576811471,12.605045318603516,-0.08979547023773193
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,11,3,44,181.50164794921875,13.472254746300589,11.491318702697754,0.0784948468208313,217.67982482910156,14.753976576811471,12.605045318603516,-0.08979547023773193
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,1,42,188.67413330078125,13.735870314646293,11.81289291381836,0.04207921028137207,210.32086181640625,14.50244330505747,12.436903953552246,-0.052953362464904785
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,2,43,188.67413330078125,13.735870314646293,11.81289291381836,0.04207921028137207,210.32086181640625,14.50244330505747,12.436903953552246,-0.052953362464904785
regression_years_knn_n_neighbors,regression_years,regression,person3,knn,knn_regression,n_neighbors,21,3,44,188.67413330078125,13.735870314646293,11.81289291381836,0.04207921028137207,210.32086181640625,14.50244330505747,12.436903953552246,-0.052953362464904785
