param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
3,2.0,43.0,195.96613415374972,13.998790453240938,12.108404774305107,0.005056928740162059,200.1653597336916,14.147980765243199,12.209707640673395,-0.0021107480538480328
5,2.0,43.0,192.93833987083337,13.89022461556448,11.98543615080006,0.020429395804416273,204.1069348588724,14.286599835470733,12.296608405723967,-0.021843906690589776
10,2.0,43.0,150.09077053908126,12.25115381582444,9.951897862251615,0.23797153598617468,250.27852888261054,15.820182675083823,13.275700448697838,-0.2529980418892332
20,2.0,43.0,5.812336392947331,2.4108783032766445,0.5522825126262627,0.9704900857131916,413.56621664446885,20.336168528116985,16.559196194083693,-1.0704838803416128
