param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
50,2.0,43.0,135.01002471043452,11.619350455954404,9.98091491001356,0.3145382531714546,203.01309766169092,14.248251466101218,12.266204295222282,-0.0163677043478118
100,2.0,43.0,134.99950870662886,11.618906725137498,9.987705797304981,0.314591644157448,202.44427721060228,14.228288190601475,12.255538441843887,-0.01351995342573827
200,2.0,43.0,134.53476396397116,11.598897421368305,9.973430002145813,0.31695120778107366,202.4407660625471,14.228164414542013,12.26356258027928,-0.013502375163401728
300,2.0,43.0,134.44922847135626,11.59521550528153,9.972659001845999,0.3173854815197045,202.2250726842901,14.220584657175287,12.257418480042427,-0.012422524719134223
